english,hindi
yoonivarsiti,यूनिवर्सिटी
kalej,कॉलेज
landan,लंडन
gehamar,गेहमर
priyathaa,प्रियशा
teleree,टेलेरी
chchindavaadaa,छिंदवाड़ा
jankshan,जंक्शन
malik,मलिक
raiphelo,रैफेलो
phoebe,फोएबे
cage,पिंजरा
amer,आमेर
malik,मलिक
devgan,देवगन
road,रोड
mujahid,मुजाहिद
jamshed,जमशेद
suzuki,सुज़ुकी
motor,मोटर
broadwater,ब्रॉडवाटर
bagri,बागरी
sajanpure,सज्जनपुर
niramay,निरामय
hum,हम
tum,तुम
aur,और
wo,वो
amanat,अमानत
ichhita,इच्छिता
jaiki,जैकी
devdharkar,देवधरकर
hasan,हसन
shaik,शेक
haimdres,हैंड्‍स
agar,अगर
tum,तुम
na,न
hote,होते
adhikar,अधिकार
vinodini,विनोदिनी
amlaai,अम्लाई
debashish,देबाशीश
kaushik,कौशिक
somanshu,सोमांशु
karsan,कर्सन
ghavri,घावरी
opto,ऑप्टो
circuits,सर्किट्स
noma,नोमा
aacharyasuta,आचार्यसुता
suraj,सूरज
gyanda,ज्ञानदा
roshan,रोशन
jurangpathi,जुरंगपथी
jaisi,जेसी
james,जेम्स
aage,आगे
badho,बढ़ो
abhayprad,अभयप्रद
prize,प्राइज़
for,फॉर
literature,लिट्रेचर
waqt,वक्त
kee,की
deewar,दीवार
ahmed,अहमद
kamaal,कमाल
jawaharlal,जवाहरलाल
nehru,नेहरू
tirupatisaram,तिरुपतीसराम
asif,आसिफ
mahmood,महमूद
triptaa,तृप्ता
raveesh,रवीश
berish,बेरिस
dam,डैम
kashef,कशेफ
saiful,सैफुल
islam,इस्लाम
biswesvraya,विश्वेसवराया
dam,डैम
preet,प्रीत
not,न
the,जाने
reet,रीत
supreme,सुप्रीम
petro,पेट्रो
fort,फोर्ट
pearsa,पेअरसैल
film,फिल्म
he,ही
film,फिल्म
manthan,मंथन
akram,अकरम
sawal,सवाल
ayyappan,अय्यप्पन
abdul,अब्दुल
baseera,बसीर
abdus,अब्दुस
vinugopal,विणुगोपाल
raav,राव
nimish,निमिश
aap,आप
ki,की
marji,मर्ज़ी
kvenacho,क्वेनाचो
lokesh,लोकेश
aabhir,आभीर
nippon,निप्पॉन
mining,माइनिंग
holdings,होल्डिंग्स
havange,हवांगे
priks,प्रिक्स
medisis,मेडिसिस
lusander,ल्यूसेंडर
formidable,फोर्मिडेबल
jodi,जोडी
kanyalal,कन्हैयालाल
kin,कीन
salaam,सलाम
kelkar,केलकर
chelsiyaa,चेल्सिया
zizzee,ज़िज़ी
jeeval,जीवल
vaasanti,वासंती
dharam,धरम
veer,वीर
galenis,ग्लेनिस
paanl,पॉल
varlis,व्रेलिस
greeh,ग्रीक
hastreet,ह‍िस्ट्री
museum,म्युज़ियम
forte,फोर्ट
worth,वर्थ
teja,तेजा
tejal,तेजल
university,यूनिवर्सिटी
off,ऑफ
khidaike,खिड़की
kunti,कुंती
keena,कीना
yasmin,यास्मिन
madhuchanda,मधुचन्दा
javait,जवाद
fort,फोर्ट
dayjan,टेजॉन
javan,जवान
kioto,क्योटो
prize,प्राइज़
moskva,मोस्क्वा
jaane,जाने
anjane,अनजाने
mohammad,मोहम्मद
madani,मदानी
miya,मियाँ
asrafi,अशरफी
ashapurna,आशापूर्णा
devi,देवी
sarey,सरेय
luck,लॅक
violence,वॉलेंसा
fort,फोर्ट
trigental,ट्रेगैन्टल
georgia,ज्यार्जियो
osmund,ओसमंड
nabraska,नेब्रास्का
bhadran,भद्रन
shoab,शोएब
kaviraj,कविराज
hainis,हॉयनिस
bhilwara,भीलवाड़ा
hujes,ह्युजेस
medal,मेडल
hare,हरे
kaanch,काँच
ki,की
chudiyna,चुड़ियाँ
jaindra,ज़ैंड्रा
malik,मलिक
jeki,जैकी
baba,बाबा
bule,बुले
shah,शाह
shaikh,शेख
chilli,चिल्ली
divine,डिवाइन
nagar,नगर
done,डन
shiv,शिव
raatri,रात्रि
nagma,नगमा
deep,दीप
daasgupta,दासगुप्ता
banani,बननी
sudarshna,सुदर्शना
tayibaaha,तय्यिबाह
banaahi,बनाही
bhagavaanpura,भगवानपुरा
anokha,अनोखा
rishta,रिश्ता
scent,सेंट
meri,मेरी
naseer,नसीर
malik,मलिक
duff,डफ
pyaar,प्यार
ka,का
rishta,रिश्ता
phaamarn,पॉमर्न
gurudwara,गुरूद्वारा
tibbi,टिब्बी
saahib,साहिब
tarkkas,तरकस
mout,मौत
kaa,का
tufaan,तूफान
harraarey,हरारे
jeraald,जेरॉल्ड
goarade,गौरडे
lele,लेले
darbar,दरबार
mutti,मुत्ती
abdus,अब्दुस
nafarat,नफरत
ki,की
aanhdhi,आँधी
gaay,गाय
dog,डॉग
sibojiryam,सीबोर्जियम
lalitkishore,ललितकिशोर
sugtiy,सुगतीय
sabak,सबक
hatyare,हत्यारे
khemchand,खेमचंद
naalko,नाल्को
bayar,बायर
badavi,बदावी
devgam,देवगम
waltars,वाल्टर्स
afsana,अफसाना
slasen,स्लेसेन
abdul,अब्दुल
gas,गस
shungare,शुंगारे
kaheesha,कहीशा
steve,स्टीव
smith,स्मिथ
shekel,शेकेल
josaf,जोसफ
stelin,स्टेलिन
hinge,हिंगे
bankiyaw,बैंकियाओ
dam,डैम
liyonardo,लियोनार्डो
d,डी
kepriyo,कैप्रियो
garnet,गर्नेट
krugar,क्रुगर
war,वार
chittar,चित्तर
indian,इंडियन
bank,बैंक
omar,ओमर
kheyyam,खैय्यम
players,प्लेयर्स
formalisis,फ़ार्माएक्सिस
limited,लिमिटेड
pawaskar,पावसकर
faninath,फणिनाथ
edlin,एडलिन
sant,संत
xyanershwar,ज्ञानेश्वर
raghvendra,राघवेंद्र
natu,नातू
cheboob,चेकोब
babu,बाबू
memon,मेमन
express,एक्सप्रेस
itochu,इतोचु
atroli,अत्रौली
road,रोड
sapna,सपना
taisir,तैसिर
abhishok,अभिशोक
murre,मुर्रे
gudwin,गुडविन
dark,डार्क
street,स्ट्रीट
sikkrapts,स्क्रिप्ट्स
aakash,आकाश
frank,फ़्रैंक
raj,राज
tilak,तिलक
laakirn,लार्किन
riyaan,रियान
vanmata,वनमाता
international,इंटरनेशनल
paper,पेपर
jet,जेट
airways,एयरवेज़
anadyant,अनाद्यंत
gujjar,गुज्जर
banba,बैंबा
actress,एक्ट्रेस
kyun,क्यों
bani,बनी
hasina,हसीना
maan,मान
iravti,इरावती
makisma,मक्सिमा
pyaar,प्रयॉर
sumitra,सुमित्रा
vishya,विषया
hind,हिन्द
edakad,इदाक्क्ड़
herve,हिरवे
derrick,डेरिक
more,मुर्रे
jaegi,जाएगी
amarp,अमरप
lawarris,लावारिस
fakhrh,फख्र
roj,रोज
kennedy,कैनेडी
arsikeri,अरसिकेरी
junction,जंक्शन
detective,डिटेक्टिव
janu,जानू
riverside,रिवरसाइड
marsabit,मारसाबिट
and,एण्ड
reserve,रिज़र्व
jagmohan,जगमोहन
sanjeevan,संजीवन
mahindra,महिंद्रा
yujin,युजिन
mangalore,मैंगलोर
chemicals,केमिकल्स
mishol,मिशेल
london,लंदन
dublin,डब्ल‍िन
writers,राइटर्स
museum,म्युज़ियम
do,दो
aanhgee,आँखें
enig,एनीज
bhell,भेल
myginsheyam,मैग्निशियम
ranghaava,रंधावा
looyisa,लुइसा
kep,केप
code,कॉड
faded,फाटेट
neenth,नींद
hamare,हमारी
khyalab,ख्वाब
tomhara,तुम्हारे
india,इंडिया
neris,नेरीस
fort,फोर्ट
townsand,टाउनसेंड
gurudwara,गुरूद्वारा
bawli,बाउली
saahib,साहिब
chunauti,चुनौती
ghatprabha,घाटप्रभा
brook,ब्रूक
chandiya,चंदिया
road,रोड
ginis,ग‍िनीज
world,वर्ल्ड
offf,ऑफ
records,रेकॉर्ड्स
museum,म्युज़ियम
muquabla,मुकाबला
abhimand,अभिमन्द
linel,लाइनेल
wanker,वॉकर
shubhang,शुभांग
delta,डेल्टा
ear,एयर
lains,लाइन्स
thomson,थॉमसन
jack,जेक
nicholson,निकोलसन
mohsin,मोहसिन
khan,खान
vidya,विद्या
vardhak,वर्धक
sang,संघ
high,हाई
school,स्कूल
bangalore,बैंगलोर
jurat,जुर्रत
haikla,हेक्ला
rishta,रिश्ता
ajay,अजेय
krushna,कृष्णा
grant,ग्रांट
breadburn,ब्रैडबर्न
saaransh,सारांश
elita,एलिटा
abdul,अब्दुल
rahima,रहीम
ajmat,अज़्मत
yomhas,थॉमस
ka,का
army,आर्मी
public,पब्‍लिक
school,स्‍कूल
new,न्यू
delhi,डेल्ही
garhi,गर्ही
maanikpur,मानिकपुर
adam,एडम
kaavli,कावली
price,प्राइज़
glora,ग्लोरा
benito,बेनिटो
musolini,मुसोलिनी
jaysudha,जयसुधा
federal,फ़ेडेरल
express,एक्सप्रेस
templo,टेम्पलो
day,डे
pen,पेन
royal,रॉयल
academy,एकेडमी
of,ऑफ
arts,आर्ट्स
julinka,जूलिन्का
bats,बेट्स
anikuttan,अनइकुट्‍टम
reservoir,रिज़रवायर
david,डेविड
albanjaa,अलबन्ज़ा
a,ए
builinggul,बिलींगुअल
siberut,सिबेरुट
hamdi,हम्दी
jeend,जींद
dream,ड्रीम
girl,गर्ल
miya,मियाँ
biwi,बीवी
lloyd,लॉएड
blhind,अंधों
of,की
world,दुनिया
suwo,सूवो
aftab,आफताब
ahmed,अहमद
radha,राधा
and,और
sita,सीता
khubgawkar,खुबगावकर
prabhas,प्रभास
great,ग्रेट
sandy,सैंडी
nalayak,नालायक
richard,रिचर्ड
bartan,बरटॉन
newbery,न्यूबेरी
honour,हॉनर
milan,मिलान
malpensa,मालपेन्सा
marlon,मार्लोन
black,ब्लैक
sakotiya,स्कॉटिया
see,सी
sheikh,शेख़
shabeli,शबेली
dhruv,ध्रुव
indrakarman,इंद्रकर्मण
university,यूनिवर्सिटी
of,ऑफ
portsmouth,पोर्ट्समाउथ
shrimyi,श्रीमयी
glacier,ग्लेशियर
mugdala,मग्दला
hele,हेले
joel,जोएल
ausment,ऑसमेंट
sarfarosh,सरफरोश
do,दो
raji,राज़ी
doctor,डॉक्टर
shaitan,शैतान
aakhri,आखिरी
muqabla,मुकाबला
munmayi,मृण्मयी
niharika,निहारिका
jewel,ज्वेल
thief,थीफ
tanbur,तान्बूर
london,लंडन
metropolitan,मैट्रोपॉलिटन
university,यूनिवर्सिटी
sagaami,सगामी
jihaan,जिहान
dusri,दूसरी
dulhann,दुल्हन
abhir,अभीर
thamarpaili,थर्मोपाइली
maan,मान
dushmann,दुश्मन
bhopatkar,भोपटकर
bagdad,बगदाद
ki,की
raatein,रातें
aduj,अदुज़
zahir,ज़हीर
jab,जब
pyaar,प्यार
kisi,किसी
te,गए
master,उस्ताद
aswan,अस्वान
dam,डैम
abdul,अब्दुल
halim,हलीम
newberry,न्यूबेरी
medal,मेडल
le'lu,लु'लु
utah,उटाह
se,से
hota,होता
hain,है
bhadresh,भद्रेश
annapurna,अन्नपूर्णा
te,द
morning,मॉर्निंग
vivek,क्व‍िक
jimmy,जिम्मी
cook,कुक
raajit,राजित
subrose,सुब्रोस
satna,सतना
neelam,नीलम
pari,परी
triborag,त्रिबोरघ
barya,बर्या
ram,राम
avion,एवियन
centurian,सेंच्यूरियन
baki,बकी
bill,बिल
lorry,लॉरी
kewin,केविन
druars,डुअर्स
kahani,कहानी
fulvati,फूलवती
ki,की
bhemasvaadi,भेमस्वादी
bejubaan,बेज़ुबान
corneliya,कोर्नेलिया
krishnakanth,कृष्णकांता
ketalin,कैटलिन
dundun,डुनडुन
bland,ब्लांड
sarojini,सरोजिनी
bheem,भीम
garjana,गर्जना
haphijoor,हफिज़ुर
rahaman,रहमान
ross,रॉस
pirot,पीरॉट
rat,रात
ke,के
raahi,राही
shaahid,शाहिद
anwar,अनवर
sheep,शीप
nounihaal,नौनिहाल
emirates,एमीरेट्स
bank,बैंक
kalisi,कलसी
sidoni,सिडोनी
sandhi,संधि
guru,गुरु
dakshin,दक्षिणा
order,ऑडर
off,ऑफ
saint,सेंट
george,जॉर्ज
doovar,टॉवर
wan,वन
sowgath,सौगात
neda,निदा
baabaa,बाबा
mohayiyaaddin,मुहइयाद्दीन
haai,हाई
iumgal,एंगल
bydaree,बैटरी
afshaar,अफ्शां
rangeen,रंगीन
zamaana,ज़माना
bhairav,भैरव
pinaak,पिनाक
ek,एक
shola,शोला
sven,स्वैन
mrunalini,मृणालिनी
finoleks,फ़िनोलेक्स
industriz,इंडस्ट्रीज़
jalandhar,जालंधर
vijete,विजेती
husnaara,हुस्नआरा
northempton,नार्थएंपटन
university,यूनिवर्सिटी
college,कॉलेज
bada,बड़ा
aadimi,आदमी
apna,अपना
khoon,खून
david,डेविड
white,व्हाइट
suverchala,सुवर्चला
easter,ईस्टर
sign,सैन
pablo,पाब्लो
bay,बे
gola,गोला
barood,बारूद
sharayana,शरण्या
apna,अपना
dushman,दुश्मन
hatctiff,हॉचटिफ़
balvir,बलवीर
benington,बेनिंग्टन
marvin,मर्विन
deelo,डिलों
moin,मोइन
khaan,खान
mohiniatum,मोहिनीअट्टम
singanhdah,स्निग्धा
sayeed,सय्यद
fazal,फज़्ल
karim,करीम
kadri,क़ादरी
antalaya,अंताल्या
havalimani,हावालीमानी
fatehgad,फतेहगढ़
simpro,स्पिरो
ichu,इक्षु
jeyad,जियाद
hapoogo,ह्यूगो
award,अवार्ड
mursal,मुरसल
kasam,कसम
paida,पैदा
karne,करने
vaale,वाले
ke,की
jhoncha,ज़ोचा
rogini,रोज़ीना
adil,अदिल
eyan,इयान
makevan,मैकवेन
natvar,नटवर
kantele,कैनटिले
uma,उमाशंकर
joshi,जोशी
bat,बट
panchmahal,पंचमहल
beehu,बीहू
kesaava,केसावा
dalhaiji,डलहैज़ी
group,ग्रुप
bairi,बैरी
haidli,हैडली
mehendi,मेहँदी
lagi,लगी
meri,मेरे
haath,हाथ
stuart,स्टुअर्ट
williams,विलियम्स
bhadrachalam,भद्राचलम
kalelakar,कालेलकर
vedic,वैदिक
ravi,रवि
ratnayake,रत्नायके
group,ग्रुप
cais,कैस
deprame,डेपॉर्मे
shreevallabh,श्रीवल्लभ
karl,कार्ल
raugars,रॉगर्स
semyulikee,सेम्युलिकी
samrendu,समरेंदु
kurde,कुरडे
salil,सलिल
ankola,अंकोला
gajasya,गजस्या
mauriliyo,मौरिलिओ
somarset,सोमरसेट
mom,मॉम
john,जॉन
bradshow,ब्रेडशॉ
college,कॉलेज
girl,गर्ल
ibtal,इब्तिहल
al,अल
hilaal,हिलाल
vivi,विवी
snow,स्नो
shyamalata,श्यामलता
fort,फोर्ट
sign,सैन
phillip,फेलिप
dell,डेल
maro,मॉरो
evergreen,एवरग्रीन
community,कम्युनिटी
keenan,कीनन
carch,चर्च
off,ऑफ
d,द
open,ओपन
door,डोर
chau,चाउ
mahla,माहला
reliance,रिलायंस
naichura,नैच्युरा
prasam,प्राशम
archardas,ऑर्चर्ड्स
community,कम्युनिटी
harway,हार्वे
avardas,अवार्ड्‍स
lopamudra,लोपमुद्रा
saeed,सईद
aajaad,आज़ाद
steav,स्टीव
wander,वॉन्डर
najar,नज़र
union,यूनियन
pipe,पाइप
atttuniti,एट्टयूनिटी
cosmo,कॉस्मो
oil,ऑईल
dwigt,ड्वाइट
humayrah,हुमयराह
rameez,रमीज़
satwik,सात्विक
dayton,डेटन
of,का
victim,शिकार
custer,कस्टर
offenpest,ऑफेनपेस्ट
caterpillar,केटरपिलर
shriram,श्रीराम
transfi,ट्रांसफ़ी
shiva,शिवा
gamma,गामा
four,फोर
continents,कॉनटिनेंट्‍स
figure,फिगर
skating,स्केटिंग
champions,चैंपियन्स
fuller,फुलर
murder,हत्या
jacob,जेकब
aurum,ऑरम
bareerah,बरीरह
madhuri,माधुरी
art,आर्ट
institute,इंस्टीट्‍यूट
rocky,रॉकी
ananya,अनन्या
ek,एक
bar,बार
chale,चले
aao,आओ
gaverai,गेवरई
somkanta,सोमकांता
internet,इंटरनेट
initiative,इनीशिएटिव
japan,जापान
phride,अभिमान
figter,फाइटर
sheila,शीला
dabholkar,दाभोलकर
allah,अल्लाह
the,रखा
leigna,लैग़ना
exsmoor,एक्समूर
rudra,रुद्र
pratap,प्रताप
singh,सिंह
sanobar,सनौबर
bonus,बोनसो
electronics,इलेक्ट्रॉनिक्स
international,इंटरनेशनल
almeli,एमेली
american,अमेरिकन
express,एक्सप्रेस
pritikaana,प्रीतिकाना
faavji,फावज़ी
baalkrishna,बालकृष्ण
rammohan,राममोहन
kutunbe,कुटुंबे
gujarat,गुजरात
state,स्टेट
petro,पेट्रो
melkam,मैल्कम
sewaram,सेवाराम
bali,बाली
sewaram,सेवाराम
ansli,ऐंस्ली
ridi,रिद्धि
eileta,इलेटा
colorado,कोलोरैडो
kettel,केटल
river,रिवर
bruce,ब्रूस
medal,मेडल
mukdar,मुकद्दर
porttipahta,पोर्टीपहटा
reservoir,रिज़रवायर
profit,प्रोफिट
footbal,फुटबॉल
world,वर्ल्ड
cup,कप
jagat,जगत
chizarira,चिज़ारिरा
himalay,हिमालय
mary,मेरी
asha,आशा
abdul,अब्दुल
shig,शैग
maghavaajeet,मघवाजित
chakr,चक्र
fhajalpoor,फज़लपुर
insaafa,इंसाफ
my,मैं
karoomga,करूँगा
desipina,डेस्पिना
fort,फोर्ट
kaarnavaalis,कार्नवॉलिस
mera,मेरा
suhaag,सुहाग
cafort,केफार्ट
united,यूनाइटेड
methodist,मेथोडिस्ट
hindustan,हिंदुस्तान
petroleum,पेट्रोलियम
katrine,कैटरीन
mahesh,महेश
rajiyaah,रजियाह
girilaal,गिरिलाल
texsaas,टेक्सास
krugar,क्रूगर
goldy,गोल्डी
horn,हॉन
fahimaah,फहीमाह
palar,पालर
porandlar,पोरन्दलर
reservoir,रिज़रवायर
ekchit,एकचित्त
major,मेजर
leg,लीग
loucross,लैक्रोस
community,कम्युनिटी
sarvish,सर्विस
award,अवार्ड
valdimir,वाल्देमर
kraegton,क्रेगटन
jaldeep,जलदीप
cremain,क्रिमेन
campens,कैम्पेन्स
aap,आप
ka,का
pyar,प्यार
yamini,यामिनी
gelena,गेलेना
marasi,मरासी
narayani,नारायणी
sanjh,सांझ
ki,की
chaminda,चमिंडा
mendis,मेंडिस
luicil,ल्युसिल
ball,बॉल
jin,जिन
maao,माओ
building,बिल्डिंग
dholak,ढोलक
aakar,आकार
gora,गोरा
ghuma,घुमा
arab,अरब
ka,का
soudagar,सौदागर
james,जेम्स
cook,कुक
university,यूनिवर्सिटी
gerald,गेराल्ड
peckover,पेकोवर
kiw,कीव
bela,बेला
manusela,मानुसेला
pyaar,प्यार
ka,का
karz,कर्ज़
rutgers,रट्‍जर्स
elissa,एलिसा
guru,गुरु
sulemann,सुलेमान
chela,चेला
fortes,फोर्ट्रेस
haijan,हाइज़न
dhoodh,धुंद
merathan,मेराथन
oil,ऑइल
emali,एमिली
haris,हॅरिस
kaanoon,कानून
apana,अपना
apan,अपना
pahalwan,पहलवान
march,मार्च
latona,लैटोना
atulya,अतुल्य
la,ला
raispa,रैस्पा
solferino,सोल्फेरिनो
abhinanda,अभिनन्दा
morne,मॉर्न
wayne,वेन
sunil,सुनील
joshi,जोशी
manjit,मनजीत
mera,मेरा
salam,सलाम
manimuthar,मणिमुथर
reservoir,रिज़रवायर
sindhi,सिंधी
hannan,हन्नान
sarkar,सरकार
week,वीक
south,साउथ
carolina,कैरोलिना
nevalina,नेवानलिना
price,प्राइज़
yelena,येलेना
gurudwara,गुरूद्वारा
parivaar,परिवार
vichoda,विछोड़ा
ganaadhyaksh,गणाध्यक्ष
saket,साकेत
newly,नूतन
bhlood,खून
sweat,पसीना
form,रूप
rupaiya,रुपैया
fort,फोर्ट
gray,कंबरलैंड
cuica,क्युका
jassi,जस्सी
nekiya,नेकिया
omika,उमिका
shashiprabh,शशिप्रभ
panvin,पनविन
ek,एक
kunwari,कुँवारी
ek,एक
kunwara,कुँवारा
marryland,मेरीलैंड
deepak,दीपक
safiya,सफीय
barabaki,बाराबंकी
faniya,फॉनिया
francisco,फ्रांसेस्को
morosini,मोरोसिनी
veland,वेलैंड
somnath,सोमनाथ
jyotileng,ज्योतिर्लिंग
tomi,टॉमी
hilifzar,हिल्फ़िज़र
jamnagar,जामनगर
john,जॉन
kent,केंट
somkanta,सोमकांता
hundai,हुंडई
motor,मोटर
thuraiyya,थुरय्या
thasiyan,थ्रासियन
amalsad,अमलसद
delhi,डेल्ही
mosadek,मोसाद्देक
hussain,हुसैन
dabolim,दबोलिम
pilani,पिलानी
vachaspati,वाचस्पति
mechladrija,मेखलाद्रिजा
aayub,अय्यूब
ylrkaya,ल्युकायन
kevernes,केवरन्स
anamol,अनमोल
public,पब्ल‍िक
school,स्कूल
indirapurm,इंदिरापुरम
bhitiwala,भिटीवाला
govindagadh,गोविंदगढ़
best,वेस्ट
spitsburgan,स्पीट्‍सबर्गन
finlandia,फिनलैंडिया
price,प्राइज़
for,फॉर
moti,मोती
